name,rank,year,genre,duration,rating,url,runtime_min,decade
Judgment at Nuremberg,132,1961,Drama,2h 59m,8.3,https://www.imdb.com/title/tt0055031/,179.0,1960
Judgment at Nuremberg,132,1961,History,2h 59m,8.3,https://www.imdb.com/title/tt0055031/,179.0,1960
Judgment at Nuremberg,132,1961,War,2h 59m,8.3,https://www.imdb.com/title/tt0055031/,179.0,1960
Shutter Island,133,2010,Drama,2h 18m,8.2,https://www.imdb.com/title/tt1130884/,138.0,2010
Shutter Island,133,2010,Mystery,2h 18m,8.2,https://www.imdb.com/title/tt1130884/,138.0,2010
Shutter Island,133,2010,Thriller,2h 18m,8.2,https://www.imdb.com/title/tt1130884/,138.0,2010
Taxi Driver,134,1976,Crime,1h 54m,8.2,https://www.imdb.com/title/tt0075314/,114.0,1970
Taxi Driver,134,1976,Drama,1h 54m,8.2,https://www.imdb.com/title/tt0075314/,114.0,1970
Per qualche dollaro in più,135,1965,Drama,2h 12m,8.2,https://www.imdb.com/title/tt0059578/,132.0,1960
Per qualche dollaro in più,135,1965,Western,2h 12m,8.2,https://www.imdb.com/title/tt0059578/,132.0,1960
Some Like It Hot,136,1959,Comedy,2h 1m,8.2,https://www.imdb.com/title/tt0053291/,121.0,1950
Some Like It Hot,136,1959,Music,2h 1m,8.2,https://www.imdb.com/title/tt0053291/,121.0,1950
Some Like It Hot,136,1959,Romance,2h 1m,8.2,https://www.imdb.com/title/tt0053291/,121.0,1950
Jurassic Park,137,1993,Action,2h 7m,8.2,https://www.imdb.com/title/tt0107290/,127.0,1990
Jurassic Park,137,1993,Adventure,2h 7m,8.2,https://www.imdb.com/title/tt0107290/,127.0,1990
Jurassic Park,137,1993,Sci-Fi,2h 7m,8.2,https://www.imdb.com/title/tt0107290/,127.0,1990
There Will Be Blood,138,2007,Drama,2h 38m,8.2,https://www.imdb.com/title/tt0469494/,158.0,2000
The Kid,139,1921,Comedy,1h 8m,8.2,https://www.imdb.com/title/tt0012349/,68.0,1920
The Kid,139,1921,Drama,1h 8m,8.2,https://www.imdb.com/title/tt0012349/,68.0,1920
